"id"	"rank"	"name"	"realm_name"	"realm_id"	"faction"	"gender"	"race"	"active_spec"	"class"	"rating"	"tier"	"games_won"	"games_lost"	"total_games"	"win_percentage"
233760324	1	"Petkick"	"tichondrius"	11	"horde"	"Female"	"Orc"	"Unholy"	"Death Knight"	2538	6	143	7	150	95.3
194306698	1	"Wøtç"	"sargeras"	76	"alliance"	"Female"	"Dark Iron Dwarf"	"Mistweaver"	"Monk"	2538	6	301	110	411	73.2
237754590	3	"Kciktep"	"tichondrius"	11	"horde"	"Female"	"Orc"	"Unholy"	"Death Knight"	2492	6	195	33	228	85.5
249799081	4	"Magnusz"	"zuljin"	61	"alliance"	"Male"	"Dark Iron Dwarf"	"Arms"	"Warrior"	2467	6	180	29	209	86.1
237994974	5	"Nessper"	"tichondrius"	11	"alliance"	"Female"	"Dwarf"	"Outlaw"	"Rogue"	2440	6	301	57	358	84.1
224156581	6	"Norris"	"alleria"	52	"alliance"	"test"	"test"	"test"	"test"	2416	6	320	58	378	84.7
239563620	7	"Oql"	"tichondrius"	11	"alliance"	"Female"	"Void Elf"	"Unholy"	"Death Knight"	2413	6	98	1	99	99
235484185	8	"Mamazboy"	"area-52"	1566	"horde"	"Female"	"Blood Elf"	"Havoc"	"Demon Hunter"	2379	5	87	22	109	79.8
232437579	9	"Tôlik"	"ragnaros"	1427	"alliance"	"Male"	"Night Elf"	"Feral"	"Druid"	2361	5	95	43	138	68.8
240118755	10	"Nahj"	"tichondrius"	11	"horde"	"Female"	"Orc"	"Subtlety"	"Rogue"	2354	5	357	232	589	60.6
239105380	11	"Fancyr"	"tichondrius"	11	"alliance"	"Female"	"Night Elf"	"Assassination"	"Rogue"	2353	5	117	35	152	77
248835167	12	"Renner"	"zuljin"	61	"alliance"	"Female"	"Night Elf"	"Restoration"	"Druid"	2345	5	177	126	303	58.4
194202765	13	"Wètdream"	"sargeras"	76	"alliance"	"Female"	"Night Elf"	"Subtlety"	"Rogue"	2337	5	73	23	96	76
193883189	14	"Piklydelight"	"sargeras"	76	"alliance"	"Female"	"Dracthyr"	"Preservation"	"Evoker"	2333	5	79	44	123	64.2
190559825	15	"Keator"	"tichondrius"	11	"horde"	"Male"	"Orc"	"Unholy"	"Death Knight"	2326	5	128	55	183	69.9
234820672	16	"Dracobys"	"area-52"	1566	"alliance"	"Female"	"Dracthyr"	"Preservation"	"Evoker"	2322	5	125	52	177	70.6
194173846	17	"Kuranchi"	"sargeras"	76	"alliance"	"Female"	"Dark Iron Dwarf"	"Windwalker"	"Monk"	2321	5	65	12	77	84.4
229403131	18	"Kãppã"	"kelthuzad"	16	"horde"	"Female"	"Blood Elf"	"Havoc"	"Demon Hunter"	2318	5	70	39	109	64.2
223304642	19	"Keyam"	"illidan"	57	"horde"	"Female"	"Orc"	"Windwalker"	"Monk"	2308	5	102	51	153	66.7
224282236	19	"Dilf"	"dalaran"	66	"horde"	"Female"	"Dracthyr"	"Preservation"	"Evoker"	2308	5	216	154	370	58.4
222772629	21	"Disembles"	"illidan"	57	"alliance"	"Female"	"Night Elf"	"Restoration"	"Druid"	2306	5	111	57	168	66.1
240082628	21	"Hypervicious"	"tichondrius"	11	"horde"	"Male"	"Blood Elf"	"Havoc"	"Demon Hunter"	2306	5	155	91	246	63
41015765	23	"Challengerz"	"suramar"	113	"horde"	"Male"	"Undead"	"Discipline"	"Priest"	2304	5	108	47	155	69.7
181407405	24	"Demoncouch"	"malganis"	59	"horde"	"Female"	"Blood Elf"	"Havoc"	"Demon Hunter"	2302	5	68	19	87	78.2
239825743	25	"Reedyjrrtv"	"tichondrius"	11	"alliance"	"Female"	"Night Elf"	"Discipline"	"Priest"	2296	5	187	126	313	59.7
250619838	26	"Xyän"	"bleeding-hollow"	73	"alliance"	"Female"	"Dark Iron Dwarf"	"Windwalker"	"Monk"	2292	5	239	174	413	57.9
229675069	27	"Gooberxyz"	"kelthuzad"	16	"alliance"	"Female"	"Night Elf"	"Beast Mastery"	"Hunter"	2289	5	187	80	267	70
232448779	28	"Africano"	"ragnaros"	1427	"alliance"	"Male"	"Human"	"Survival"	"Hunter"	2288	5	122	84	206	59.2
144956621	29	"Devistonia"	"moon-guard"	1365	"alliance"	"Female"	"Night Elf"	"Feral"	"Druid"	2286	5	132	49	181	72.9
220569484	30	"Flóp"	"dalaran"	66	"alliance"	"Male"	"Night Elf"	"Restoration"	"Druid"	2283	5	99	25	124	79.8
176448326	31	"Disciple"	"darkspear"	120	"alliance"	"Female"	"Night Elf"	"Beast Mastery"	"Hunter"	2273	5	84	46	130	64.6
170474494	32	"Numbing"	"sargeras"	76	"alliance"	"Male"	"Dark Iron Dwarf"	"Arcane"	"Mage"	2268	5	169	105	274	61.7
194298762	33	"Señorvåc"	"sargeras"	76	"alliance"	"Female"	"Night Elf"	"Discipline"	"Priest"	2267	5	192	98	290	66.2
194562591	34	"Kokweaver"	"sargeras"	76	"alliance"	"Female"	"Night Elf"	"Mistweaver"	"Monk"	2266	5	80	32	112	71.4
249856565	35	"Rlycoolclass"	"zuljin"	61	"alliance"	"Female"	"Night Elf"	"Havoc"	"Demon Hunter"	2261	5	82	42	124	66.1
239619858	35	"Pxdx"	"tichondrius"	11	"alliance"	"Female"	"Void Elf"	"Discipline"	"Priest"	2261	5	145	87	232	62.5
232045637	37	"Doodeebutt"	"tichondrius"	11	"horde"	"Male"	"Orc"	"Outlaw"	"Rogue"	2259	5	118	66	184	64.1
237907874	38	"Pettyk"	"tichondrius"	11	"horde"	"Female"	"Orc"	"Unholy"	"Death Knight"	2256	5	198	67	265	74.7
193219948	39	"Dno"	"demon-soul"	1286	"alliance"	"Female"	"Night Elf"	"Restoration"	"Druid"	2255	5	1383	266	1649	83.9
191961702	40	"Reilerhunt"	"sargeras"	76	"alliance"	"Male"	"Human"	"Beast Mastery"	"Hunter"	2254	5	181	97	278	65.1
198094658	41	"Wodferalz"	"proudmoore"	5	"alliance"	"Female"	"Night Elf"	"Feral"	"Druid"	2252	5	101	23	124	81.5
